zip,lat,lng
06390,41.27024,-71.98783
10001,40.75065,-73.99718
10002,40.7157,-73.98638
10003,40.7318,-73.98911
10004,40.69465,-74.02106
10005,40.70614,-74.00891
10006,40.70968,-74.01284
10007,40.71395,-74.00764
10009,40.72633,-73.97861
10010,40.73911,-73.98265
10011,40.74187,-74.00052
10012,40.72584,-73.998
10013,40.72022,-74.00463
10014,40.73374,-74.00687
10016,40.74515,-73.9783
10017,40.75221,-73.97251
10018,40.75533,-73.99311
10019,40.7657,-73.98706
10020,40.75906,-73.98026
10021,40.76939,-73.95871
10022,40.75859,-73.96793
10023,40.77601,-73.98269
10024,40.79227,-73.97482
10025,40.79857,-73.96659
10026,40.80245,-73.9526
10027,40.81184,-73.9534
10028,40.7763,-73.95372
10029,40.79173,-73.94396
10030,40.81823,-73.94288
10031,40.82518,-73.95013
10032,40.83884,-73.94279
10033,40.8506,-73.93391
10034,40.86715,-73.9241
10035,40.79551,-73.92967
10036,40.75927,-73.98999
10037,40.81287,-73.93739
10038,40.70916,-74.00279
10039,40.83076,-73.93619
10040,40.85821,-73.93053
10044,40.76166,-73.95017
10065,40.76474,-73.96314
10069,40.77555,-73.99035
10075,40.77335,-73.95622
10103,40.76078,-73.97767
10110,40.7545,-73.98226
10111,40.75892,-73.97746
10112,40.75917,-73.97967
10115,40.81085,-73.96374
10119,40.75031,-73.99298
10128,40.78138,-73.95016
10152,40.7584,-73.97203
10153,40.76362,-73.97244
10154,40.75778,-73.97249
10162,40.76931,-73.94993
10165,40.75213,-73.97872
10167,40.75479,-73.97495
10168,40.75145,-73.9771
10169,40.75439,-73.9761
10170,40.75263,-73.97588
10171,40.7559,-73.97386
10172,40.75527,-73.97431
10173,40.75413,-73.97936
10174,40.75144,-73.975
10177,40.75498,-73.97589
10199,40.75138,-73.99715
10271,40.70824,-74.01054
10278,40.71514,-74.00377
10279,40.71263,-74.00867
10280,40.71025,-74.01672
10282,40.71683,-74.01494
10301,40.62846,-74.0962
10302,40.63043,-74.13772
10303,40.63239,-74.16905
10304,40.60607,-74.09418
10305,40.59538,-74.07543
10306,40.57152,-74.12535
10307,40.50794,-74.23965
10308,40.55152,-74.15038
10309,40.53132,-74.22056
10310,40.63236,-74.11616
10311,40.60524,-74.17956
10312,40.54534,-74.18153
10314,40.59913,-74.16572
10451,40.82077,-73.92387
10452,40.83739,-73.92344
10453,40.85225,-73.91358
10454,40.80549,-73.91661
10455,40.81478,-73.90862
10456,40.83003,-73.90815
10457,40.84713,-73.89871
10458,40.86244,-73.88826
10459,40.82585,-73.89289
10460,40.84172,-73.87956
10461,40.8474,-73.84066
10462,40.84269,-73.8586
10463,40.88077,-73.90662
10464,40.86793,-73.80051
10465,40.82391,-73.82298
10466,40.89098,-73.84597
10467,40.88081,-73.87392
10468,40.86804,-73.90006
10469,40.86862,-73.84813
10470,40.89594,-73.86812
10471,40.89947,-73.9018
10472,40.8295,-73.8694
10473,40.81819,-73.85878
10474,40.81066,-73.8844
10475,40.86953,-73.82532
10501,41.29448,-73.76075
10502,41.01145,-73.84149
10503,41.02651,-73.8752
10504,41.13121,-73.70587
10505,41.3421,-73.74565
10506,41.18883,-73.63393
10507,41.2284,-73.68628
10509,41.41174,-73.59437
10510,41.14094,-73.83447
10511,41.26299,-73.94366
10512,41.44925,-73.71213
10514,41.17308,-73.77091
10516,41.45334,-73.90241
10517,41.29822,-73.86194
10518,41.26778,-73.60032
10519,41.35021,-73.6557
10520,41.22059,-73.87156
10522,41.01226,-73.86479
10523,41.06,-73.81892
10524,41.37063,-73.92197
10526,41.29108,-73.66782
10527,41.31915,-73.76447
10528,40.97834,-73.72293
